pais_id,pais_nombre
918,Zona Franca La Candelaria
919,Zona Franca Bogota
920,Zona Franca Pacifico
921,Zona Franca Baru Beach Resort
922,Zona Franca Pozos Colorados
923,Zona Franca Eurocaribe De Indias
924,Zona Franca Quindío (Armenia).
925,Zona Franca Malambo
926,ZFP Agroindustrial Magdalena Medio
927,ZFP de Bienes y Servicios Ciudadela Salud
928,Zona Franca Permanente la Cayena
929,ZFP Internacional del Atlantico
930,Zona Franca Permanente Especial BIO D Facatativa.
931,ZFPE Biocombustible Sostenibles del Caribe
932,ZFPE Maquilagro
933,ZFPE Agroindustrias del Cauca
934,Zf Permanente Parque Ind Dexton.
935,Zona Franca Permanente Especial Argos S.A.
936,Zf Permanente Especial Gyplac Sa
937,Zona Franca Permanente Especial Kcag
938,ZFP Plic
939,ZFP Intexzona
940,ZFP Tayrona
941,ZFP de Uraba
942,ZFPE de Corferias
943,ZFP las Americas
944,ZFPE Ecodiesel
945,ZFPE Contac Center
946,ZFPE Paul Calley
947,Zf Permanente Especial Siemene Manufa
948,Pepsico Alimentos Zf Ltda
949,ZFPE Acerias Paz Del Rio
950,ZFPE de Servicios de Marinilla
951,ZFPE Vidrio Andino
953,ZFPE Refineria de Cartagena
954,ZFP de Occidente
955,ZFPE Sociedad Portuaria de Santa Marta
956,Zona Franca P.E de servicios de Cartagena
957,ZFPE Colombina del Cauca
958,ZFPE Termoflores
959,ZFPE Carvajal pulpa y papel S.A.S
960,ZFP de Tocancipa
961,ZFPE Telemark Spain
962,ZFPE San Vicente de Paul
963,ZFPE Ceramicas San Lorenzo
964,ZFPE papeles del Cauca
965,ZFPE Clinica Portoazul
966,ZFP Santander
967,ZFPE Protisa
968,ZFPE Praxair Gases industriales
969,ZFP Cencauca
970,ZFPE Paspenta
971,ZFPE Renovables
972,ZFPE Econtac
973,ZFPE Clinica Nogales
974,ZFP Metropolitana
975,ZFPE Agrosolera
976,ZFPE Bioenergy
977,ZFP Puerta de Las Americas
978,ZFPE Sociedad Medica de Sabaneta
979,ZFPE Productos Familia Cajica
980,ZFPE Sociedad Portuaria de Barranquilla
981,ZFPE Fosunab
982,ZFPE Alimentos Nariño
983,ZFPE Convergys
984,ZFPE Procesadora de  Aceite Ororojo
985,ZFP Internacional de Pereira
986,ZFPE Clinica Megacentro Pinares
987,ZFP Brisa
988,ZFPE Extractora Loma Fresca
989,ZFP Parque Central
990,ZFPE Agroindustrias Biocafe
991,ZFP Conjunto Industrial Parque Sur
992,ZFPE de Servicios Celta
993,ZFPE Habla Call Center
994,ZFP GEA
996,ZFPE Compañía  Operadora Clinica Hispanoamericana
997,ZFP SurColombiana
998,ZFPE Sociedad Portuaria Regional de Cartagena
999,Países no precisados en otra parte y desconocidos
